target,text,num_characters,num_words,num_sentences,transformed_text
0,go jurong point crazi avail bugi n great world la e buffet cine got amor wat,111,24,2,go jurong point crazi avail bugi n great world la e buffet cine got amor wat
0,ok lar joke wif u oni,29,8,2,ok lar joke wif u oni
1,free entri 2 wkli comp win fa cup final tkt 21st may text fa 87121 receiv entri question std txt rate c appli 08452810075over18,155,37,2,free entri 2 wkli comp win fa cup final tkt 21st may text fa 87121 receiv entri question std txt rate c appli 08452810075over18
0,u dun say earli hor u c alreadi say,49,13,1,u dun say earli hor u c alreadi say
0,nah think goe usf live around though,61,15,1,nah think goe usf live around though
1,freemsg hey darl 3 week word back like fun still tb ok xxx std chg send rcv,148,39,4,freemsg hey darl 3 week word back like fun still tb ok xxx std chg send rcv
0,even brother like speak treat like aid patent,77,18,2,even brother like speak treat like aid patent
0,per request mell oru minnaminungint nurungu vettam set callertun caller press 9 copi friend callertun,160,31,2,per request mell oru minnaminungint nurungu vettam set callertun caller press 9 copi friend callertun
1,winner valu network custom select receivea prize reward claim call claim code kl341 valid 12 hour,158,32,5,winner valu network custom select receivea prize reward claim call claim code kl341 valid 12 hour
1,mobil 11 month u r entitl updat latest colour mobil camera free call mobil updat co free 08002986030,154,31,3,mobil 11 month u r entitl updat latest colour mobil camera free call mobil updat co free 08002986030
0,gon na home soon want talk stuff anymor tonight k cri enough today,109,28,2,gon na home soon want talk stuff anymor tonight k cri enough today
1,six chanc win cash 100 pound txt csh11 send cost 6day tsandc appli repli hl 4 info,136,31,3,six chanc win cash 100 pound txt csh11 send cost 6day tsandc appli repli hl 4 info
1,urgent 1 week free membership prize jackpot txt word claim 81010 c lccltd pobox 4403ldnw1a7rw18,156,32,3,urgent 1 week free membership prize jackpot txt word claim 81010 c lccltd pobox 4403ldnw1a7rw18
0,search right word thank breather promis wont take help grant fulfil promis wonder bless time,196,41,3,search right word thank breather promi wont take help grant fulfil promi wonder bless time
0,date sunday,35,10,2,date sunday
1,xxxmobilemovieclub use credit click wap link next txt messag click http,149,28,2,xxxmobilemovieclub use credit click wap link next txt messag click http
0,oh k watch,26,9,1,oh k watch
0,eh u rememb 2 spell name ye v naughti make v wet,81,22,3,eh u rememb 2 spell name ye v naughti make v wet
0,fine thatåõ way u feel thatåõ way gota b,58,14,2,fine thatåõ way u feel thatåõ way gota b
1,england v macedonia dont miss news txt ur nation team 87077 eg england 87077 tri wale scotland poboxox36504w45wq,156,28,2,england v macedonia dont miss news txt ur nation team 87077 eg england 87077 tri wale scotland poboxox36504w45wq
0,serious spell name,41,9,1,seriou spell name
0,go tri 2 month ha ha joke,49,11,1,go tri 2 month ha ha joke
0,pay first lar da stock comin,53,13,1,pay first lar da stock comin
0,aft finish lunch go str lor ard 3 smth lor u finish ur lunch alreadi,88,23,3,aft finish lunch go str lor ard 3 smth lor u finish ur lunch alreadi
0,ffffffffff alright way meet sooner,57,13,2,ffffffffff alright way meet sooner
0,forc eat slice realli hungri tho suck mark get worri know sick turn pizza lol,144,35,6,forc eat slice realli hungri tho suck mark get worri know sick turn pizza lol
0,lol alway convinc,30,6,1,lol alway convinc
0,catch bu fri egg make tea eat mom left dinner feel love,134,34,5,catch bu fri egg make tea eat mom left dinner feel love
0,back amp pack car let know room,75,22,1,back amp pack car let know room
0,ahhh work vagu rememb feel like lol,64,16,5,ahhh work vagu rememb feel like lol
0,wait still clear sure sarcast x want live us,130,30,1,wait still clear sure sarcast x want live us
0,yeah got 2 v apologet n fallen actin like spoilt child got caught till 2 wo go badli cheer,189,48,6,yeah got 2 v apologet n fallen actin like spoilt child got caught till 2 wo go badli cheer
0,k tell anyth,29,7,1,k tell anyth
0,fear faint housework quick cuppa,84,18,2,fear faint housework quick cuppa
1,thank subscript rington uk mobil charg pleas confirm repli ye repli charg,159,30,2,thank subscript rington uk mobil charg plea confirm repli ye repli charg
0,yup ok go home look time msg xuhui go learn 2nd may lesson 8am,123,30,1,yup ok go home look time msg xuhui go learn 2nd may lesson 8am
0,oop let know roommat done,47,12,1,oop let know roommat done
0,see letter b car,28,8,1,see letter b car
0,anyth lor u decid,27,6,1,anyth lor u decid
0,hello saturday go text see decid anyth tomo tri invit anyth,155,37,4,hello saturday go text see decid anyth tomo tri invit anyth
